ID Channel,Waktu,Komentar,genre,Like,cleaning,case_folding,hasil_normalisasi,tokenize,stopword_removal,stemming_data
@iamblueyork,4 bulan yang lalu,Walaupun genre animasi tp ttp mempertahankan POP CULTURE kita yaitu HANTU...,animasi,19.0,Walaupun genre animasi tp ttp mempertahankan POP CULTURE kita yaitu HANTU,walaupun genre animasi tp ttp mempertahankan pop culture kita yaitu hantu,walaupun genre animasi tapi tetap mempertahankan pop culture kita yaitu hantu,"['walaupun', 'genre', 'animasi', 'tapi', 'tetap', 'mempertahankan', 'pop', 'culture', 'kita', 'yaitu', 'hantu']","['genre', 'animasi', 'mempertahankan', 'pop', 'culture', 'hantu']",genre animasi tahan pop culture hantu
@ferdausalamsyah1600,4 bulan yang lalu,Ryan Adriandi sengaja ngecast anak kecil untuk memberi energi anak2 yg sebenarnya,animasi,39.0,Ryan Adriandi sengaja ngecast anak kecil untuk memberi energi anak yg sebenarnya,ryan adriandi sengaja ngecast anak kecil untuk memberi energi anak yg sebenarnya,ryan adriandi sengaja ngecast anak kecil untuk memberi energi anak yang sebenarnya,"['ryan', 'adriandi', 'sengaja', 'ngecast', 'anak', 'kecil', 'untuk', 'memberi', 'energi', 'anak', 'yang', 'sebenarnya']","['ryan', 'adriandi', 'sengaja', 'ngecast', 'anak', 'energi', 'anak']",ryan adriandi sengaja ngecast anak energi anak
@liopleurodoon,4 bulan yang lalu (diedit),"Anak2 di film ini keluarganya nggak ada yang lengkap. Ada yang tinggal dengan nenek, kakek, kakaknya, atau orangtua angkat. Yang lengkap cuma Meri, eeeh tapi dia sayangnya berumur pendek. Memang tiap keluarga itu ada tantangannya masing2 ygy, kekosongan di keluarga masing2 akhirnya diisi dengan berkawan satu sama lain.",animasi,66.0,Anak di film ini keluarganya nggak ada yang lengkap Ada yang tinggal dengan nenek kakek kakaknya atau orangtua angkat Yang lengkap cuma Meri eeeh tapi dia sayangnya berumur pendek Memang tiap keluarga itu ada tantangannya masing ygy kekosongan di keluarga masing akhirnya diisi dengan berkawan satu sama lain,anak di film ini keluarganya nggak ada yang lengkap ada yang tinggal dengan nenek kakek kakaknya atau orangtua angkat yang lengkap cuma meri eeeh tapi dia sayangnya berumur pendek memang tiap keluarga itu ada tantangannya masing ygy kekosongan di keluarga masing akhirnya diisi dengan berkawan satu sama lain,anak di film ini keluarganya tidak ada yang lengkap ada yang tinggal dengan nenek kakek kakaknya atau orangtua angkat yang lengkap cuma meri eeeh tapi dia sayangnya berumur pendek memang tiap keluarga itu ada tantangannya masing ygy kekosongan di keluarga masing akhirnya diisi dengan berkawan satu sama lain,"['anak', 'di', 'film', 'ini', 'keluarganya', 'tidak', 'ada', 'yang', 'lengkap', 'ada', 'yang', 'tinggal', 'dengan', 'nenek', 'kakek', 'kakaknya', 'atau', 'orangtua', 'angkat', 'yang', 'lengkap', 'cuma', 'meri', 'eeeh', 'tapi', 'dia', 'sayangnya', 'berumur', 'pendek', 'memang', 'tiap', 'keluarga', 'itu', 'ada', 'tantangannya', 'masing', 'ygy', 'kekosongan', 'di', 'keluarga', 'masing', 'akhirnya', 'diisi', 'dengan', 'berkawan', 'satu', 'sama', 'lain']","['anak', 'film', 'keluarganya', 'lengkap', 'tinggal', 'nenek', 'kakek', 'kakaknya', 'orangtua', 'angkat', 'lengkap', 'meri', 'eeeh', 'sayangnya', 'berumur', 'pendek', 'keluarga', 'tantangannya', 'ygy', 'kekosongan', 'keluarga', 'diisi', 'berkawan']",anak film keluarga lengkap tinggal nenek kakek kakak orangtua angkat lengkap meri eeeh sayang umur pendek keluarga tantang ygy kosong keluarga isi kawan
@RezaNovembriGame,4 bulan yang lalu,"tapi karena memang layak, untuk di tonton ini film. 
gw bangga jadi pendongkrak film animasi di indonesia dengan cara support jumbo, dan gw sstuju bgt  animasi nusa rara itu mateng bgt dari semua aspek, dan jadi batu loncatan untuk jumbo menyempurnakan nya. 
pake kumplit si ini film, animasi , scoring, characater, visual semuanya dapet. 
gw berharap ketika di jual di global, akan ada enhance lagi dari segi kualitasnya, biar makin perfect.",animasi,69.0,"tapi karena memang layak untuk di tonton ini film 
gw bangga jadi pendongkrak film animasi di indonesia dengan cara support jumbo dan gw sstuju bgt  animasi nusa rara itu mateng bgt dari semua aspek dan jadi batu loncatan untuk jumbo menyempurnakan nya 
pake kumplit si ini film animasi  scoring characater visual semuanya dapet 
gw berharap ketika di jual di global akan ada enhance lagi dari segi kualitasnya biar makin perfect","tapi karena memang layak untuk di tonton ini film 
gw bangga jadi pendongkrak film animasi di indonesia dengan cara support jumbo dan gw sstuju bgt  animasi nusa rara itu mateng bgt dari semua aspek dan jadi batu loncatan untuk jumbo menyempurnakan nya 
pake kumplit si ini film animasi  scoring characater visual semuanya dapet 
gw berharap ketika di jual di global akan ada enhance lagi dari segi kualitasnya biar makin perfect",tapi karena memang layak untuk di tonton ini film gue bangga jadi pendongkrak film animasi di indonesia dengan cara support jumbo dan gue sstuju banget animasi nusa rara itu mateng banget dari semua aspek dan jadi batu loncatan untuk jumbo menyempurnakan ya pakai kumplit sih ini film animasi scoring characater visual semuanya dapat gue berharap ketika di jual di global akan ada enhance lagi dari segi kualitasnya biar makin perfect,"['tapi', 'karena', 'memang', 'layak', 'untuk', 'di', 'tonton', 'ini', 'film', 'gue', 'bangga', 'jadi', 'pendongkrak', 'film', 'animasi', 'di', 'indonesia', 'dengan', 'cara', 'support', 'jumbo', 'dan', 'gue', 'sstuju', 'banget', 'animasi', 'nusa', 'rara', 'itu', 'mateng', 'banget', 'dari', 'semua', 'aspek', 'dan', 'jadi', 'batu', 'loncatan', 'untuk', 'jumbo', 'menyempurnakan', 'ya', 'pakai', 'kumplit', 'sih', 'ini', 'film', 'animasi', 'scoring', 'characater', 'visual', 'semuanya', 'dapat', 'gue', 'berharap', 'ketika', 'di', 'jual', 'di', 'global', 'akan', 'ada', 'enhance', 'lagi', 'dari', 'segi', 'kualitasnya', 'biar', 'makin', 'perfect']","['layak', 'tonton', 'film', 'gue', 'bangga', 'pendongkrak', 'film', 'animasi', 'indonesia', 'support', 'jumbo', 'gue', 'sstuju', 'banget', 'animasi', 'nusa', 'rara', 'mateng', 'banget', 'aspek', 'batu', 'loncatan', 'jumbo', 'menyempurnakan', 'ya', 'pakai', 'kumplit', 'sih', 'film', 'animasi', 'scoring', 'characater', 'visual', 'gue', 'berharap', 'jual', 'global', 'enhance', 'segi', 'kualitasnya', 'biar', 'perfect']",layak tonton film gue bangga dongkrak film animasi indonesia support jumbo gue sstuju banget animasi nusa rara mateng banget aspek batu loncat jumbo sempurna ya pakai kumplit sih film animasi scoring characater visual gue harap jual global enhance segi kualitas biar perfect
@clondoijo,4 bulan yang lalu,"penasaran dg film ni,akhirnya tadi siang nonton ber 8 org,masa allah ,bner berkaca2 mata tanpa disadari...hampir ksel dg karakter jumbo tp trbayar dg happy ending yg memuaskan...klu mau dksh rating 999/100....
maju trus film animasi indonesia.....",animasi,24.0,"penasaran dg film niakhirnya tadi siang nonton ber  orgmasa allah bner berkaca mata tanpa disadarihampir ksel dg karakter jumbo tp trbayar dg happy ending yg memuaskanklu mau dksh rating 
maju trus film animasi indonesia","penasaran dg film niakhirnya tadi siang nonton ber  orgmasa allah bner berkaca mata tanpa disadarihampir ksel dg karakter jumbo tp trbayar dg happy ending yg memuaskanklu mau dksh rating 
maju trus film animasi indonesia",penasaran dengan film niakhirnya tadi siang menonton ber orgmasa allah benar berkaca mata tanpa disadarihampir ksel dengan karakter jumbo tapi trbayar dengan happy ending yang memuaskanklu mau dksh rating maju terus film animasi indonesia,"['penasaran', 'dengan', 'film', 'niakhirnya', 'tadi', 'siang', 'menonton', 'ber', 'orgmasa', 'allah', 'benar', 'berkaca', 'mata', 'tanpa', 'disadarihampir', 'ksel', 'dengan', 'karakter', 'jumbo', 'tapi', 'trbayar', 'dengan', 'happy', 'ending', 'yang', 'memuaskanklu', 'mau', 'dksh', 'rating', 'maju', 'terus', 'film', 'animasi', 'indonesia']","['penasaran', 'film', 'niakhirnya', 'siang', 'menonton', 'ber', 'orgmasa', 'allah', 'berkaca', 'mata', 'disadarihampir', 'ksel', 'karakter', 'jumbo', 'trbayar', 'happy', 'ending', 'memuaskanklu', 'dksh', 'rating', 'maju', 'film', 'animasi', 'indonesia']",penasaran film niakhirnya siang tonton ber orgmasa allah kaca mata disadarihampir ksel karakter jumbo trbayar happy ending memuaskanklu dksh rating maju film animasi indonesia
@stevenkaro,4 bulan yang lalu,"Saya juga orang yg cukup tertarik dengan karakter nurman bang, dengan latar belakang karakter tampa orang tua sama dengan karakter yg lainnya,tapi hanya nurman yg punya tanggung jawab buat balas budi ke orang yg sudah merawat dia. Dengan merawat kambing, kita bisa lihat kalau nurman merawat kambing kambing itu dengan sepenuh hati terlihat dari kedekatannya dengan si kambing2. senang bisa lihat animasi dengan karakter beragam dengan nuansa lokal namun berkualitas.terimakasih jumbo.",animasi,12.0,Saya juga orang yg cukup tertarik dengan karakter nurman bang dengan latar belakang karakter tampa orang tua sama dengan karakter yg lainnyatapi hanya nurman yg punya tanggung jawab buat balas budi ke orang yg sudah merawat dia Dengan merawat kambing kita bisa lihat kalau nurman merawat kambing kambing itu dengan sepenuh hati terlihat dari kedekatannya dengan si kambing senang bisa lihat animasi dengan karakter beragam dengan nuansa lokal namun berkualitasterimakasih jumbo,saya juga orang yg cukup tertarik dengan karakter nurman bang dengan latar belakang karakter tampa orang tua sama dengan karakter yg lainnyatapi hanya nurman yg punya tanggung jawab buat balas budi ke orang yg sudah merawat dia dengan merawat kambing kita bisa lihat kalau nurman merawat kambing kambing itu dengan sepenuh hati terlihat dari kedekatannya dengan si kambing senang bisa lihat animasi dengan karakter beragam dengan nuansa lokal namun berkualitasterimakasih jumbo,saya juga orang yang cukup tertarik dengan karakter nurman abang dengan latar belakang karakter tampa orang tua sama dengan karakter yang lainnyatapi hanya nurman yang punya tanggung jawab buat balas budi ke orang yang sudah merawat dia dengan merawat kambing kita bisa lihat kalau nurman merawat kambing kambing itu dengan sepenuh hati terlihat dari kedekatannya dengan sih kambing senang bisa lihat animasi dengan karakter beragam dengan nuansa lokal namun berkualitasterimakasih jumbo,"['saya', 'juga', 'orang', 'yang', 'cukup', 'tertarik', 'dengan', 'karakter', 'nurman', 'abang', 'dengan', 'latar', 'belakang', 'karakter', 'tampa', 'orang', 'tua', 'sama', 'dengan', 'karakter', 'yang', 'lainnyatapi', 'hanya', 'nurman', 'yang', 'punya', 'tanggung', 'jawab', 'buat', 'balas', 'budi', 'ke', 'orang', 'yang', 'sudah', 'merawat', 'dia', 'dengan', 'merawat', 'kambing', 'kita', 'bisa', 'lihat', 'kalau', 'nurman', 'merawat', 'kambing', 'kambing', 'itu', 'dengan', 'sepenuh', 'hati', 'terlihat', 'dari', 'kedekatannya', 'dengan', 'sih', 'kambing', 'senang', 'bisa', 'lihat', 'animasi', 'dengan', 'karakter', 'beragam', 'dengan', 'nuansa', 'lokal', 'namun', 'berkualitasterimakasih', 'jumbo']","['orang', 'tertarik', 'karakter', 'nurman', 'abang', 'latar', 'karakter', 'tampa', 'orang', 'tua', 'karakter', 'lainnyatapi', 'nurman', 'tanggung', 'balas', 'budi', 'orang', 'merawat', 'merawat', 'kambing', 'lihat', 'nurman', 'merawat', 'kambing', 'kambing', 'sepenuh', 'hati', 'kedekatannya', 'sih', 'kambing', 'senang', 'lihat', 'animasi', 'karakter', 'beragam', 'nuansa', 'lokal', 'berkualitasterimakasih', 'jumbo']",orang tarik karakter nurman abang latar karakter tampa orang tua karakter lainnyatapi nurman tanggung balas budi orang rawat rawat kambing lihat nurman rawat kambing kambing sepenuh hati dekat sih kambing senang lihat animasi karakter agam nuansa lokal berkualitasterimakasih jumbo
@normanrinaldi8326,4 bulan yang lalu,"Pernah denger atau sering denger kata-kata ini, anak bangsa yang berprestasi adalah aset bangsa yang pemerintah enggan mengapresiasi baik daerah maupun pusat, tapi masyarakat juga sama sih kebanyakan bisa ngehujat, mengkritik tapi bukan bagian dari 2 juta penonton saat ini, percaya gak kalau jumbo ini namanya di ubah pakai bahasa inggris terus bahasa juga, tayang di Singapura aja terus tipis-tipis bilang salah satu kru orang Indonesia pasti lebih meledak, bangsa ini sudah terbiasa membanggakan karya, budaya, adat negara lain dari dulu, semua film membawa nama Amerika, sekarang korea apa-apa korea, terbaru Thailand, apa-apa Thailand! Kalau lu lihat jumbo bukan suatu kebanggaan nilai cinta lu terhadap karya anak negeri wajib dipertanyakan!",animasi,17.0,Pernah denger atau sering denger katakata ini anak bangsa yang berprestasi adalah aset bangsa yang pemerintah enggan mengapresiasi baik daerah maupun pusat tapi masyarakat juga sama sih kebanyakan bisa ngehujat mengkritik tapi bukan bagian dari  juta penonton saat ini percaya gak kalau jumbo ini namanya di ubah pakai bahasa inggris terus bahasa juga tayang di Singapura aja terus tipistipis bilang salah satu kru orang Indonesia pasti lebih meledak bangsa ini sudah terbiasa membanggakan karya budaya adat negara lain dari dulu semua film membawa nama Amerika sekarang korea apaapa korea terbaru Thailand apaapa Thailand Kalau lu lihat jumbo bukan suatu kebanggaan nilai cinta lu terhadap karya anak negeri wajib dipertanyakan,pernah denger atau sering denger katakata ini anak bangsa yang berprestasi adalah aset bangsa yang pemerintah enggan mengapresiasi baik daerah maupun pusat tapi masyarakat juga sama sih kebanyakan bisa ngehujat mengkritik tapi bukan bagian dari  juta penonton saat ini percaya gak kalau jumbo ini namanya di ubah pakai bahasa inggris terus bahasa juga tayang di singapura aja terus tipistipis bilang salah satu kru orang indonesia pasti lebih meledak bangsa ini sudah terbiasa membanggakan karya budaya adat negara lain dari dulu semua film membawa nama amerika sekarang korea apaapa korea terbaru thailand apaapa thailand kalau lu lihat jumbo bukan suatu kebanggaan nilai cinta lu terhadap karya anak negeri wajib dipertanyakan,pernah dengar atau sering dengar katakata ini anak bangsa yang berprestasi adalah aset bangsa yang pemerintah enggan mengapresiasi baik daerah maupun pusat tapi masyarakat juga sama sih kebanyakan bisa menghujat mengkritik tapi bukan bagian dari juta penonton saat ini percaya tidak kalau jumbo ini namanya di ubah pakai bahasa inggris terus bahasa juga tayang di singapura saja terus tipistipis bilang salah satu kru orang indonesia pasti lebih meledak bangsa ini sudah terbiasa membanggakan karya budaya adat negara lain dari dulu semua film membawa nama amerika sekarang korea apaapa korea terbaru thailand apaapa thailand kalau kamu lihat jumbo bukan suatu kebanggaan nilai cinta kamu terhadap karya anak negeri wajib dipertanyakan,"['pernah', 'dengar', 'atau', 'sering', 'dengar', 'katakata', 'ini', 'anak', 'bangsa', 'yang', 'berprestasi', 'adalah', 'aset', 'bangsa', 'yang', 'pemerintah', 'enggan', 'mengapresiasi', 'baik', 'daerah', 'maupun', 'pusat', 'tapi', 'masyarakat', 'juga', 'sama', 'sih', 'kebanyakan', 'bisa', 'menghujat', 'mengkritik', 'tapi', 'bukan', 'bagian', 'dari', 'juta', 'penonton', 'saat', 'ini', 'percaya', 'tidak', 'kalau', 'jumbo', 'ini', 'namanya', 'di', 'ubah', 'pakai', 'bahasa', 'inggris', 'terus', 'bahasa', 'juga', 'tayang', 'di', 'singapura', 'saja', 'terus', 'tipistipis', 'bilang', 'salah', 'satu', 'kru', 'orang', 'indonesia', 'pasti', 'lebih', 'meledak', 'bangsa', 'ini', 'sudah', 'terbiasa', 'membanggakan', 'karya', 'budaya', 'adat', 'negara', 'lain', 'dari', 'dulu', 'semua', 'film', 'membawa', 'nama', 'amerika', 'sekarang', 'korea', 'apaapa', 'korea', 'terbaru', 'thailand', 'apaapa', 'thailand', 'kalau', 'kamu', 'lihat', 'jumbo', 'bukan', 'suatu', 'kebanggaan', 'nilai', 'cinta', 'kamu', 'terhadap', 'karya', 'anak', 'negeri', 'wajib', 'dipertanyakan']","['dengar', 'dengar', 'katakata', 'anak', 'bangsa', 'berprestasi', 'aset', 'bangsa', 'pemerintah', 'enggan', 'mengapresiasi', 'daerah', 'pusat', 'masyarakat', 'sih', 'kebanyakan', 'menghujat', 'mengkritik', 'juta', 'penonton', 'percaya', 'jumbo', 'namanya', 'ubah', 'pakai', 'bahasa', 'inggris', 'bahasa', 'tayang', 'singapura', 'tipistipis', 'bilang', 'salah', 'kru', 'orang', 'indonesia', 'meledak', 'bangsa', 'terbiasa', 'membanggakan', 'karya', 'budaya', 'adat', 'negara', 'film', 'membawa', 'nama', 'amerika', 'korea', 'apaapa', 'korea', 'terbaru', 'thailand', 'apaapa', 'thailand', 'lihat', 'jumbo', 'kebanggaan', 'nilai', 'cinta', 'karya', 'anak', 'negeri', 'wajib']",dengar dengar katakata anak bangsa prestasi aset bangsa perintah enggan apresiasi daerah pusat masyarakat sih banyak hujat kritik juta tonton percaya jumbo nama ubah pakai bahasa inggris bahasa tayang singapura tipistipis bilang salah kru orang indonesia ledak bangsa biasa bangga karya budaya adat negara film bawa nama amerika korea apaapa korea baru thailand apaapa thailand lihat jumbo bangga nilai cinta karya anak negeri wajib
@kristeguhsimatupang6964,4 bulan yang lalu,"Anak saya langsung dapat nilai2 penting dari film ini : saling bantu, mau mendengarkan, minta maaf jika salah, dan… tidak ada anak2 yang jahat… damn. Benar, ga ada anak2 yg jahat. Dan mereka selalu bisa mencari cara untuk kembali berteman dan mencari teman…",animasi,108.0,Anak saya langsung dapat nilai penting dari film ini  saling bantu mau mendengarkan minta maaf jika salah dan tidak ada anak yang jahat damn Benar ga ada anak yg jahat Dan mereka selalu bisa mencari cara untuk kembali berteman dan mencari teman,anak saya langsung dapat nilai penting dari film ini  saling bantu mau mendengarkan minta maaf jika salah dan tidak ada anak yang jahat damn benar ga ada anak yg jahat dan mereka selalu bisa mencari cara untuk kembali berteman dan mencari teman,anak saya langsung dapat nilai penting dari film ini saling bantu mau mendengarkan meminta maaf jika salah dan tidak ada anak yang jahat damn benar tidak ada anak yang jahat dan mereka selalu bisa mencari cara untuk kembali berteman dan mencari teman,"['anak', 'saya', 'langsung', 'dapat', 'nilai', 'penting', 'dari', 'film', 'ini', 'saling', 'bantu', 'mau', 'mendengarkan', 'meminta', 'maaf', 'jika', 'salah', 'dan', 'tidak', 'ada', 'anak', 'yang', 'jahat', 'damn', 'benar', 'tidak', 'ada', 'anak', 'yang', 'jahat', 'dan', 'mereka', 'selalu', 'bisa', 'mencari', 'cara', 'untuk', 'kembali', 'berteman', 'dan', 'mencari', 'teman']","['anak', 'langsung', 'nilai', 'film', 'bantu', 'mendengarkan', 'maaf', 'salah', 'anak', 'jahat', 'damn', 'anak', 'jahat', 'mencari', 'berteman', 'mencari', 'teman']",anak langsung nilai film bantu dengar maaf salah anak jahat damn anak jahat cari teman cari teman
@muhammadnasrun5942,4 bulan yang lalu,"Betul, ini sangat membanggakan Indonesia. Dan akan sangat baik kalau Malaysia dan Indonesia saling menguatkan dalam industri animasi dengan kelebihan masing-masing. Agak prihatin saat lihat rating IMDb by Country, ada anomali.",animasi,63.0,Betul ini sangat membanggakan Indonesia Dan akan sangat baik kalau Malaysia dan Indonesia saling menguatkan dalam industri animasi dengan kelebihan masingmasing Agak prihatin saat lihat rating IMDb by Country ada anomali,betul ini sangat membanggakan indonesia dan akan sangat baik kalau malaysia dan indonesia saling menguatkan dalam industri animasi dengan kelebihan masingmasing agak prihatin saat lihat rating imdb by country ada anomali,betul ini sangat membanggakan indonesia dan akan sangat baik kalau malaysia dan indonesia saling menguatkan dalam industri animasi dengan kelebihan masingmasing agak prihatin saat lihat rating imdb by country ada anomali,"['betul', 'ini', 'sangat', 'membanggakan', 'indonesia', 'dan', 'akan', 'sangat', 'baik', 'kalau', 'malaysia', 'dan', 'indonesia', 'saling', 'menguatkan', 'dalam', 'industri', 'animasi', 'dengan', 'kelebihan', 'masingmasing', 'agak', 'prihatin', 'saat', 'lihat', 'rating', 'imdb', 'by', 'country', 'ada', 'anomali']","['membanggakan', 'indonesia', 'malaysia', 'indonesia', 'menguatkan', 'industri', 'animasi', 'kelebihan', 'masingmasing', 'prihatin', 'lihat', 'rating', 'imdb', 'by', 'country', 'anomali']",bangga indonesia malaysia indonesia kuat industri animasi lebih masingmasing prihatin lihat rating imdb by country anomali
@tutorileks,4 bulan yang lalu,smoga aja indonesia punya studio dan tempat khusus yang luas untuk menampung kreator2 bgini.. dan ada payung untuk mewadahi smuanya.. dan ini bisa menjadi peluang loker kreatif juga untuk kedepannya..,animasi,0,smoga aja indonesia punya studio dan tempat khusus yang luas untuk menampung kreator bgini dan ada payung untuk mewadahi smuanya dan ini bisa menjadi peluang loker kreatif juga untuk kedepannya,smoga aja indonesia punya studio dan tempat khusus yang luas untuk menampung kreator bgini dan ada payung untuk mewadahi smuanya dan ini bisa menjadi peluang loker kreatif juga untuk kedepannya,semoga saja indonesia punya studio dan tempat khusus yang luas untuk menampung kreator begini dan ada payung untuk mewadahi smuanya dan ini bisa menjadi peluang loker kreatif juga untuk kedepannya,"['semoga', 'saja', 'indonesia', 'punya', 'studio', 'dan', 'tempat', 'khusus', 'yang', 'luas', 'untuk', 'menampung', 'kreator', 'begini', 'dan', 'ada', 'payung', 'untuk', 'mewadahi', 'smuanya', 'dan', 'ini', 'bisa', 'menjadi', 'peluang', 'loker', 'kreatif', 'juga', 'untuk', 'kedepannya']","['semoga', 'indonesia', 'studio', 'khusus', 'luas', 'menampung', 'kreator', 'payung', 'mewadahi', 'smuanya', 'peluang', 'loker', 'kreatif', 'kedepannya']",moga indonesia studio khusus luas tampung kreator payung wadah smuanya peluang loker kreatif depan
@Jagathobi,4 bulan yang lalu,"Dari jaman SD memang suka sama film animasi, sampe kepikiran indonesia bisa ga ya buat seperti ini, dan tahun ini terjawab sudah, bangga campur haru.. NUSA & JUMBO Keren terus berkaya yah apresiasi selalu untuk sebuah karya yang tulus..",animasi,6.0,Dari jaman SD memang suka sama film animasi sampe kepikiran indonesia bisa ga ya buat seperti ini dan tahun ini terjawab sudah bangga campur haru NUSA  JUMBO Keren terus berkaya yah apresiasi selalu untuk sebuah karya yang tulus,dari jaman sd memang suka sama film animasi sampe kepikiran indonesia bisa ga ya buat seperti ini dan tahun ini terjawab sudah bangga campur haru nusa  jumbo keren terus berkaya yah apresiasi selalu untuk sebuah karya yang tulus,dari jaman sd memang suka sama film animasi sampai kepikiran indonesia bisa tidak ya buat seperti ini dan tahun ini terjawab sudah bangga campur harus nusa jumbo keren terus berkaya ya apresiasi selalu untuk sebuah karya yang tulus,"['dari', 'jaman', 'sd', 'memang', 'suka', 'sama', 'film', 'animasi', 'sampai', 'kepikiran', 'indonesia', 'bisa', 'tidak', 'ya', 'buat', 'seperti', 'ini', 'dan', 'tahun', 'ini', 'terjawab', 'sudah', 'bangga', 'campur', 'harus', 'nusa', 'jumbo', 'keren', 'terus', 'berkaya', 'ya', 'apresiasi', 'selalu', 'untuk', 'sebuah', 'karya', 'yang', 'tulus']","['jaman', 'sd', 'suka', 'film', 'animasi', 'kepikiran', 'indonesia', 'ya', 'terjawab', 'bangga', 'campur', 'nusa', 'jumbo', 'keren', 'berkaya', 'ya', 'apresiasi', 'karya', 'tulus']",jaman sd suka film animasi pikir indonesia ya jawab bangga campur nusa jumbo keren kaya ya apresiasi karya tulus
@stardust9868,4 bulan yang lalu,Sampe nangis gitu bang,animasi,8.0,Sampe nangis gitu bang,sampe nangis gitu bang,sampai menangis begitu abang,"['sampai', 'menangis', 'begitu', 'abang']","['menangis', 'abang']",menang abang
@khrismahaq,4 bulan yang lalu,Bang lu kalo di kasih podium udah kaya sambutan kepsek,animasi,5.0,Bang lu kalo di kasih podium udah kaya sambutan kepsek,bang lu kalo di kasih podium udah kaya sambutan kepsek,abang kamu kalau di kasih podium sudah kayak sambutan kepsek,"['abang', 'kamu', 'kalau', 'di', 'kasih', 'podium', 'sudah', 'kayak', 'sambutan', 'kepsek']","['abang', 'kasih', 'podium', 'kayak', 'sambutan', 'kepsek']",abang kasih podium kayak sambut kepsek
@悪魔の王アノスティ,4 bulan yang lalu,Akhirnya Bang Denniss Review Lagi,animasi,6.0,Akhirnya Bang Denniss Review Lagi,akhirnya bang denniss review lagi,akhirnya abang denniss review lagi,"['akhirnya', 'abang', 'denniss', 'review', 'lagi']","['abang', 'denniss', 'review']",abang denniss review
@bangfad,4 bulan yang lalu,"Patut bangga, semoga kedepan makin banyak film animasi indonesia lagi",animasi,1.0,Patut bangga semoga kedepan makin banyak film animasi indonesia lagi,patut bangga semoga kedepan makin banyak film animasi indonesia lagi,patut bangga semoga kedepan makin banyak film animasi indonesia lagi,"['patut', 'bangga', 'semoga', 'kedepan', 'makin', 'banyak', 'film', 'animasi', 'indonesia', 'lagi']","['patut', 'bangga', 'semoga', 'kedepan', 'film', 'animasi', 'indonesia']",patut bangga moga depan film animasi indonesia
@FauzyIsman,4 bulan yang lalu,"sangat bersyukur bisa menikmati JUMBO di bioskop,,, rasa bangga , haru, jadi satu semua,,,",animasi,0,sangat bersyukur bisa menikmati JUMBO di bioskop rasa bangga  haru jadi satu semua,sangat bersyukur bisa menikmati jumbo di bioskop rasa bangga  haru jadi satu semua,sangat bersyukur bisa menikmati jumbo di bioskop rasa bangga harus jadi satu semua,"['sangat', 'bersyukur', 'bisa', 'menikmati', 'jumbo', 'di', 'bioskop', 'rasa', 'bangga', 'harus', 'jadi', 'satu', 'semua']","['bersyukur', 'menikmati', 'jumbo', 'bioskop', 'bangga']",syukur nikmat jumbo bioskop bangga
@ibnuzabil2973,4 bulan yang lalu,Pak kades mirip villain di padle pop,animasi,2.0,Pak kades mirip villain di padle pop,pak kades mirip villain di padle pop,pak kades mirip villain di padle pop,"['pak', 'kades', 'mirip', 'villain', 'di', 'padle', 'pop']","['kades', 'villain', 'padle', 'pop']",kades villain padle pop
@pier87,4 bulan yang lalu,bisa2nya jumbo nanya penjahatnya bagaimana cara pakai radionya,animasi,2.0,bisanya jumbo nanya penjahatnya bagaimana cara pakai radionya,bisanya jumbo nanya penjahatnya bagaimana cara pakai radionya,bisanya jumbo bertanya penjahatnya bagaimana cara pakai radionya,"['bisanya', 'jumbo', 'bertanya', 'penjahatnya', 'bagaimana', 'cara', 'pakai', 'radionya']","['bisanya', 'jumbo', 'penjahatnya', 'pakai', 'radionya']",bisa jumbo jahat pakai radio
@abart345,4 bulan yang lalu,akhirnya abangnya bahas film ini.,animasi,0,akhirnya abangnya bahas film ini,akhirnya abangnya bahas film ini,akhirnya abangnya bahas film ini,"['akhirnya', 'abangnya', 'bahas', 'film', 'ini']","['abangnya', 'bahas', 'film']",abang bahas film
